식품명	식품대분류	1회제공량	내용량_단위	에너지(㎉)	단백질(g)	지방(g)	탄수화물(g)	총당류(g)	나트륨(㎎)	콜레스테롤(g)	콜레스테롤(㎎)	총 포화 지방산(g)	트랜스 지방산(g)
통아몬드캔디	캔디류	10	g	58.42	0.47	3.04	7.29	0.44	10.86	0	0	1.16	0
투시롤 팝 캔디	캔디류	10	g	3.53	0	0	0.88	0.75	0	0	0	0	0
투씨 팝스 미니어쳐	캔디류	10	g	4	0	0	0.93	0.75	0	0	0	0	0
투치 롤 미즈 캔디	캔디류	10	g	3.5	0.03	0.08	0.7	0.75	0.38	0	0	0.01	0.03
투치 후르츠향 롤 캔디	캔디류	10	g	3.5	0	0	0.7	0.75	0.38	0	0	0	0
트로피칼  태피 캔디	캔디류	10	g	3.93	0	0.09	0.75	0.46	6.07	0	0	0.04	0
트로피칼 펀치향 태피	캔디류	10	g	3.93	0	0.07	0.79	0.5	6.07	0	0	0.04	0
트로피컬 과일향 캔디	캔디류	10	g	3.93	0	0	1	0.75	0.36	0	0	0	0
트롤리 딸기향 구미젤리	캔디류	10	g	2.93	0.05	0	0.73	0.6	0.37	0	0	0	0
트롤리 딸기향 퍼프젤리	캔디류	10	g	3.08	0.05	0	0.74	0.6	0.13	0	0	0	0
트롤리 미니 애플링스	캔디류	10	g	3.33	0.05	0	0.8	0.6	1	0	0	0	0
트롤리 브라이트 꿈틀이 젤리	캔디류	10	g	3.16	0.05	0	0.74	0.6	0.53	0	0	0	0
트롤리 사우어 구미 캔디	캔디류	10	g	3.33	0.05	0	0.8	0.6	1	0	0	0	0
트롤리 스파게티니 사우어	캔디류	10	g	3.33	0.05	0	0.8	0.6	1	0	0	0	0
트롤리 카시스	캔디류	10	g	3.33	0.05	0	0.8	0.6	1	0	0	0	0
트롤리 퀘걸스 구미젤리	캔디류	10	g	3.16	0.05	0	0.74	0.6	0.53	0	0	0	0
트롤리 키스	캔디류	10	g	3.33	0.05	0	0.8	0.6	1	0	0	0	0
티노 디니스 다이너소어 캔디 링	캔디류	10	g	3.5	0	0	0.9	0.75	0	0	0	0	0
파인애플 구미100	캔디류	10	g	3.22	0.04	0	0.75	0.6	0.3	0	0	0	0
팜온더로드 딸기큐브젤리	캔디류	10	g	3.12	0.06	0	0.75	0.6	0	0	0	0	0
페퍼민트 캔디	캔디류	10	g	3.75	0	0	0.94	0.75	1.25	0	0	0	0
페퍼민트향 태피	캔디류	10	g	3.93	0	0.07	0.79	0.5	6.07	0	0	0.04	0
포도 구미100	캔디류	10	g	3.22	0.04	0	0.75	0.64	0.3	0	0	0	0
포도 구미젤리	캔디류	10	g	3.4	0.05	0	0.8	0.6	0.13	0	0	0	0
포도향 캔디	캔디류	10	g	3.75	0	0	0.94	0.75	1.25	0	0	0	0
포도향 타피	캔디류	10	g	4.05	0	0.05	0.9	0.52	0	0	0	0	0
폴리 ABC 젤리	캔디류	10	g	31.5	0.45	0.01	7.51	0.73	1.02	0	0	0.01	0
폴리 레몬캔디	캔디류	10	g	31.54	0.06	0	7.75	0.91	2.04	0	0	0	0
푸시팝 오렌지향	캔디류	10	g	4	0.01	0.01	1	0.75	1.06	0	0	0	0
푸치린 젤리빈스	캔디류	10	g	3.85	0	0	0.92	0.6	0.08	0	0	0	0
퓨레 구미 레몬맛	캔디류	10	g	3.41	0.04	0	0.8	0.6	1.24	0	0	0	0
퓨레 구미 복숭아맛	캔디류	10	g	3.46	0.04	0	0.83	0.83	1.07	0	0	0	0
퓨레 구미 콜라레몬맛	캔디류	10	g	3.39	0.04	0	0.8	0.6	1.24	0	0	0	0
퓨레 구미 포도맛	캔디류	10	g	3.43	0.04	0	0.8	0.64	1.07	0	0	0	0
프레쉬 살구향 태피	캔디류	10	g	3.93	0	0.07	0.79	0.5	6.07	0	0	0.04	0
프렌치 민트향 캔디	캔디류	10	g	3.93	0	0	1	0.75	0.36	0	0	0	0
프리지 팝 드롭스	캔디류	10	g	3.89	0	0	0.94	0.75	0	0	0	0	0
플래쉬 팝	캔디류	10	g	3.82	0	0	1	0.75	0.74	0	0	0	0
피스타치오 & 석류 터키쉬딜라이트	캔디류	10	g	4.08	0.02	0.05	0.9	0.6	0	0	0	0.03	0
피지 딸기향 바이칼라 벨트	캔디류	10	g	3.6	0.01	0.02	0.85	0.6	1.39	0	0	0.01	0
피지 라즈베리향 바이칼라 벨트	캔디류	10	g	3.6	0.01	0.02	0.85	0.6	1.39	0	0	0.01	0
피지 수박향 바이칼라 벨트	캔디류	10	g	3.67	0.01	0.02	0.86	0.6	1.4	0	0	0.01	0
피지 자이언트 콜라병모양 젤리	캔디류	10	g	3.34	0.06	0	0.78	0.6	0.4	0	0	0	0
피지 콜라병모양 제리	캔디류	10	g	3.34	0.06	0	0.78	0.6	0.4	0	0	0	0
피쮸짱 블루베리향	캔디류	10	g	5.36	0.04	0.29	0.68	0.6	2.5	0	0	0.02	0.02
피쮸짱 초콜릿향	캔디류	10	g	4.17	0.04	0.08	0.83	0.6	0.83	0	0.12	0.04	0
필로우 민트	캔디류	10	g	3.33	0	0	0.83	0.75	0.28	0	0	0	0
필로우 페퍼민트맛	캔디류	10	g	3.33	0	0	0.83	0.75	0.28	0	0	0	0
하리보 개구리모양 구미젤리	캔디류	10	g	3.9	0.07	0	0.9	0.6	0.24	0	0	0	0
하리보 골드 곰모양 젤리	캔디류	10	g	3.57	0.07	0	0.81	0.6	0	0	0	0	0
하리보 곰모양 구미젤리	캔디류	10	g	3.21	0.06	0	0.75	0.6	0.57	0	0	0	0
하리보 딸기모양 구미젤리	캔디류	10	g	3.59	0.08	0	0.82	0.6	0.13	0	0	0	0
하리보 미니개구리 모양 구미젤리	캔디류	10	g	3.9	0.07	0	0.9	0.6	0.24	0	0	0	0
하리보 사워체리 모양 구미	캔디류	10	g	3.49	0.06	0	0.8	0.6	0.29	0	0	0	0
하리보 산딸기향 구미젤리	캔디류	10	g	3.59	0.03	0	8.62	0.6	0	0	0	0	0
하리보 슈퍼 콜라병 모양 구미 젤리	캔디류	10	g	3.64	0.07	0	0.82	0.6	0	0	0	0	0
하리보 알파벳모양 구미젤리	캔디류	10	g	3.43	0.09	0	0.77	0.6	0	0	0	0	0
하리보 자몽향 구미 젤리	캔디류	10	g	3.9	0.05	0	0.93	0.6	0	0	0	0	0
하리보 지네모양 젤리	캔디류	10	g	3.48	0.09	0	0.78	0.6	0.11	0	0	0	0
하리보 테크노 곰모양 젤리	캔디류	10	g	3.25	0.08	0	0.77	0.6	0	0	0	0	0
하리보 트윈체리 모양 구미	캔디류	10	g	2.94	0.06	0	0.74	0.6	0.88	0	0	0	0
하리보 핑크자몽향 구미 젤리	캔디류	10	g	2.75	0	0	0.68	0.6	0.38	0	0	0	0
하리보 해피 콜라향 구미 젤리	캔디류	10	g	3.57	0.07	0	0.81	0.6	0	0	0	0	0
하리보 흰동가리 물고기모양 젤리	캔디류	10	g	3.08	0.08	0	0.74	0.6	0	0	0	0	0
하리보 복숭아향	캔디류	10	g	3.71	0.07	0	0.86	0.6	0	0	0	0	0
하리보 복숭아향 구미	캔디류	10	g	3.71	0.07	0	0.86	0.71	0	0	0	0	0
하리보 테크노베어스	캔디류	10	g	4	0.13	0	0.87	0.6	0.33	0	0	0	0
하리보 트윈체리향	캔디류	10	g	3.47	0.07	0	0.8	0.6	0	0	0	0	0
하리보 트윈체리향구미	캔디류	10	g	3.47	0.07	0	0.8	0.6	0	0	0	0	0
하이데 대추모양 캔디	캔디류	10	g	2.75	0	0	0.7	0.75	0	0	0	0	0
하이랜드 스톰 베리믹스	캔디류	10	g	2.29	0.01	0.01	0.89	0	0	0	0	0.01	0
하이랜드 스톰 샤워	캔디류	10	g	2.25	0.01	0.01	0.88	0	0	0	0	0.01	0
하이랜드 스톰 페퍼민트향	캔디류	10	g	2.44	0.01	0.01	0.96	0	0	0	0	0.01	0
하카아메	캔디류	10	g	3.67	0	0	0.97	0.75	0	0	0	0	0
핸드 데코레이티드 하드 캔디 캐릭터스	캔디류	10	g	7.5	0	0	1.89	0.75	0	0	0	0	0
허클베리향 태피	캔디류	10	g	3.93	0	0.07	0.79	0.5	6.07	0	0	0.04	0
허클베리향 태피 엘아이티이	캔디류	10	g	3.93	0	0.07	0.79	0.5	6.07	0	0	0.04	0
헤이즐넛 터키쉬딜라이트	캔디류	10	g	3.96	0.04	0.07	0.81	0.6	0	0	0	0.01	0
헤이즐넛,피스타치오,코코넛 터키쉬딜라이트	캔디류	10	g	3.96	0.04	0.07	0.81	0.6	0	0	0	0.01	0
헬로키티 마쉬멜로우 딸기맛	캔디류	10	g	3.33	0	0	0.27	0.55	0.5	0	0	0	0
헬로키티 마쉬멜로우 초콜릿맛	캔디류	10	g	3.77	0.04	0.07	0.75	0.55	0.31	0	0	0.02	0
헬로키티 마쉬멜로우 파인애플맛	캔디류	10	g	3.24	0.02	0	0.78	0.55	0.32	0	0	0	0
호빵맨 구미	캔디류	10	g	3.19	0.06	0	0.74	0.6	0.05	0	0	0	0
혼합과일향 캔디	캔디류	10	g	3.93	0	0	1	0.75	0.36	0	0	0	0
화이트 마시멜로 어솔트먼트	캔디류	10	g	5.25	0.05	0.31	0.58	0.55	0.67	0	0	0	0
후라이드계란 모양 젤리	캔디류	10	g	3.3	0.07	0	0.77	0.6	0.53	0	0	0	0
후루츠맛 젤리	캔디류	10	g	0.89	0	0	0.22	0.6	0.49	0	0	0	0
후르츠맛 스낵젤리	캔디류	10	g	3.08	0.04	0	0.69	0.6	0.19	0	0	0	0
후르츠향 슬라이스	캔디류	10	g	3.71	0	0	0.93	0.6	0	0	0	0	0
후타에 코마치 젤리	캔디류	10	g	3.12	0	0	0.81	0.6	0	0	0	0	0
쫀쪼니 청포도	캔디류	10	g	18.19	0.05	0.41	3.62	0.55	0.09	0	0	0.41	0
목캔디	캔디류	10	g	3.9	0	0	0.97	0.79	0	0	0	0	0
바이오캔디	캔디류	10	g	4.3	0.02	0.12	0.78	0.54	0.15	0	0	0	0
바이오후르츠	캔디류	10	g	4.2	0	0.08	0.86	0	0.25	0	0	0	0
반니	캔디류	10	g	4.3	0.02	0.11	0.81	0	0.8	0	0	0	0
사랑방 선물	캔디류	10	g	3.9	0	0	0.97	0	0.01	0	0	0	0
생캔디	캔디류	10	g	4.3	0.02	0.12	0.78	0.5	0	0	0	0	0
스카시 망고스틴	캔디류	10	g	2.82	0	0	0.71	0	0	0	0	0	0
스카치 세가지맛	캔디류	10	g	4.3	0	0.09	0.88	0.69	1.59	0	0	0	0
썬키스트 레몬	캔디류	10	g	3.95	0	0	0.99	0.52	0	0	0	0	0
알사탕	캔디류	10	g	4.15	0.03	0.05	0.89	0.58	1.73	0	0	0	0
은단	캔디류	10	g	2.9	0	0	0.72	0	0.02	0	0	0	0
자두캔디	캔디류	10	g	3.65	0	0	0.91	0.5	0.26	0	0	0	0
마이구미 포도	캔디류	10	g	3.25	0.07	0	0.74	0.64	0	0	0	0	0
왕꿈틀이	캔디류	10	g	3.35	0.07	0	0.76	0.55	0.2	0	0	0	0
참새방앗간 복숭아	캔디류	10	g	3.3	0.05	0	0.73	0	0.11	0	0	0	0
바이오 생우유	캔디류	10	g	32.76	0.06	0.87	6.18	0.54	3.59	0	0.4	0.78	0.01
크라운땅콩카라멜	캔디류	10	g	40	1	1	7	5	5	0	0	1	0
쫄깃쫄깃 재미로 먹는 젤리밥	캔디류	10	g	33	1	0	7	6	10	0	0	0	0
밀크카라멜	캔디류	10	g	40	0	1	8	6	25	0	0	1	0
비단박하 캔디	캔디류	10	g	40	0	0	10	6	0	0	0	0	0
TRADERS 칵테일 캔디_포도맛	캔디류	10	g	40	0	0	10	7	1	0	0	0	0
TRADERS 칵테일 캔디_딸기맛	캔디류	10	g	40	0	0	10	7	1	0	0	0	0
TRADERS 칵테일 캔디_오렌지맛	캔디류	10	g	40	0	0	10	7	0	0	0	0	0
TRADERS 칵테일 캔디_사과맛	캔디류	10	g	40	0	0	10	7	0	0	0	0	0
TRADERS 칵테일 캔디_블루라즈베리맛	캔디류	10	g	40	0	0	10	7	1	0	0	0	0
고려홍삼캔디	캔디류	10	g	40	0	0	10	7	0	0	0	0	0
해태자두캔디	캔디류	10	g	40	0	0	10	4	0	0	0	0	0
누룽지캔디	캔디류	10	g	36	0	0	9	9	5	0	0	0	0
디저트캔디	캔디류	10	g	36	0	0	9	8	0	0	0	0	0
누룽지향캔디	캔디류	10	g	40	0	0	10	10	25	0	0	0	0
누룽지맛캔디	캔디류	10	g	35	0	0	9	7	0	0	0	0	0
오로라	캔디류	10	g	40	0	0	10	6	0	0	0	0	0
홍삼제리	캔디류	10	g	35	0	0	9	7	1.274	0	0	0	0
달고나	캔디류	10	g	39	0	0	10	9	0	0	0	0	0
Traders 커피&누룽지 캔디_커피맛	캔디류	10	g	40	0	0	10	7	6	0	0	0	0
Traders 커피&누룽지 캔디_누룽지맛	캔디류	10	g	40	0	0	10	7	8	0	0	0	0
고려홍삼캔디	캔디류	10	g	40	0	0	10	9	0	0	0	0	0
가마솥에 누룽지	캔디류	10	g	35	0	0	9	5	10	0	0	0	0
프루티캔디(중)	캔디류	10	g	40	0	0	0	7	0	0	0	0	0
웨더스 오리지날 캔디	캔디류	10	g	41	0	0	0	7	40	0	0	0.5	0
폭신폭신 말랑카우 코팅	캔디류	10.5	g	45	0	0	0	7	30	0	0	1.1	0
팜온더로드 토마토탱글 젤리	캔디류	10.8	g	35	0	0	0	6	0	0	0	0	0
하리보 마오암 브록스	캔디류	11	g	45	0	0	0	7	0	0	0	0	0
노벨 슈퍼레몬 캔디	캔디류	11	g	44.4	0	0	0	8.6	15	0	0	0	0
츄파춥스 후르츠 10개입	캔디류	11	g	44	0	0	11	9	1	0	0	0	0
프루팁스 트로피칼 믹스	캔디류	11	g	40	0	0	10	6.3	30	0	0	0	0
왕꿈틀이	캔디류	11	g	212	4	0	49	37	15	0	0	0	0
폭신폭신 말랑카우	캔디류	11	g	45	0	1	8	6	30	0	0	1	0
폭신폭신말랑카우딸기우유캔디	캔디류	11	g	40	0	1	7	6	10	0	0	1	0
멜랜드디저트캔디-종합	캔디류	11	g	45	0	0	11	8	0	0	0	0	0
젤리데이복숭아	캔디류	11	g	37	1	0	8	7	5	0	0	0	0
젤리데이포도	캔디류	11	g	38	1	0	8	7	0	0	0	0	0
짱셔요콜라	캔디류	11	g	35	0	0	9	7	0	0	0	0	0
마이쮸 자일리톨 포도	캔디류	11	g	40	0	1	9	5	0	0	0	1	0
3.7디저트종합	캔디류	11	g	45	0	0	11	8	0	0	0	0	0
마이쮸자일리톨 딸기	캔디류	11	g	40	0	1	9	5	0	0	0	1	0
마이쮸자일리톨 복숭아	캔디류	11	g	40	0	1	9	5	0	0	0	1	0
달구나캔디	캔디류	11	g	42	0	0	10	6	4	0	0	0	0
프라임디저트캔디	캔디류	11	g	45	0	0	11	7	0	0	0	0	0
디저트종합캔디	캔디류	11	g	44	0	0	11	9	0	0	0	0	0
캐빈디쉬 캔캔디(종합과일)	캔디류	11	g	44	0	0	0	8	0	0	0	0	0
롤리팝 라인프렌즈(LOLLIPOP LINE FRIENDS)	캔디류	11	g	36	0	0	0	7	0	0	0	0	0
시오아메 소금사탕	캔디류	11.2	g	45	0	0	0	9	45	0	0	0	0
종합 제리	캔디류	12	g	40	0	0	0	3	8	0	0	0	0
땅콩 카라멜	캔디류	12	g	50	0	0	0	7	15	0	0	0.5	0
옛날 마블캔디	캔디류	12	g	48	0	0	0	11	0	0	0	0	0
참호박 엿	캔디류	12	g	53	0	0	0	8	0	0	0	0.6	0
누룽지향 캔디	캔디류	12	g	50	0	0	0	12	30	0	0	0	0
고려홍삼비타민캔디	캔디류	12	g	47	0	0	12	8	4	0	0	0	0
레네세 홍삼캔디 수	캔디류	12	g	50	0	0	12	9	0	0	0	0	0
과일향스틱캔디	캔디류	12	g	48	0	0	12	9	0	0	0	0	0
땅콩카라멜	캔디류	12	g	55	1	2	10	5	25	0	0	1	0
변신로봇슈팅카비타C+	캔디류	12	g	45	0	0	11	9	0	0	0	0	0
추억의 달고나	캔디류	12	g	48	0	0	12	9	2	0	0	0	0
고려홍삼캔디	캔디류	12	g	45	0	0	12	7	65	0	0	0	0
종합캔디11	캔디류	12	g	50	0	0	12	12	0	0	0	0	0
디저트종합캔디	캔디류	12	g	45	0	0	11	6	16	0	0	0	0
헬로키티볼스틱	캔디류	12	g	50	0	0	12	7	0	0	0	0	0
뉴과	캔디류	12	g	400	0	1	10	10	15	0	0	1	0
호박캬라멜	캔디류	12	g	50	0	1	10	8	25	0	0	1	0
숲의 요정 페어리루 솜사탕 (딸기향)	캔디류	12	g	48	0	0	0	12	0	0	0	0	0
숲의 요정 페어리루 솜사탕 (포도향)	캔디류	12	g	48	0	0	0	12	0	0	0	0	0
웨더스 오리지날 카라멜	캔디류	12	g	52.2	0.44	0	0	4.9	25	0	0	1	0
crude 캔디	캔디류	13	g	52	0	0	0	9	0	0	0	0	0
엠-오이칼 살베이	캔디류	13	g	48	0	0	0	12	10	0	0	0	0
블루베리 캔디	캔디류	13	g	51	0	0	0	11	0	0	0	0	0
계피맛 캔디	캔디류	13	g	52	0	0	0	11	0	0	0	0	0
고려홍삼제리Ⅱ	캔디류	13	g	50	0	0	12	5	0	0	0	0	0
종합제리	캔디류	13	g	47	0	0	11	2	10	0	0	0	0
바이오 생과즙 캔디	캔디류	13	g	54	0	2	10	7	5	0	0	1	0
파라다이스	캔디류	13	g	50	0	0	12	9	0	0	0	0	0
New 종합제리	캔디류	13	g	45	0	0	12	5	10	0	0	0	0
땅콩캬라멜	캔디류	13	g	57	1	2	10	7	19	0	0	1	0
헬로키티롤리팝	캔디류	13	g	50	0	0	13	7	0	0	0	0	0
캐빈디쉬 병캔디(300g)	캔디류	13	g	50	0	0	0	9	0	0	0	0	0
캐빈디쉬 병캔디(966g)	캔디류	13	g	50	0	0	0	9	0	0	0	0	0
하리보콱시	캔디류	14	g	48	0	0	0	7	0	0	0	0	0
고려홍삼 제리	캔디류	14	g	50	0	0	0	2	6	0	0	0	0
우유맛 비가	캔디류	14	g	60	0	0.5	13	7	10	0	0	0	0
고려홍삼제리	캔디류	14	g	50	0	0	12	2	6	0	0	0	0
호박엿	캔디류	14	g	55	0	1	13	12	10	0	0	0	0
다시마제리	캔디류	14	g	50	0	0	13	3	0	0	0	0	0
종합제리 골드	캔디류	14	g	50	0	0	13	2	8	0	0	0	0
팜온더로드 블루베리 스노우젤리	캔디류	14.4	g	45	0	0	0	9	0	0	0	0	0
하리보 혼합과일쥬스 골드베렌구미	캔디류	15	g	54	0	0	0	6	0	0	0	0	0
비틀즈	캔디류	15	g	63	0	1	13	9	0	0	0	1	0
프루요 피치	캔디류	15	g	38	0	0	0	0	0	0	0	0	0
옛날콩사탕	캔디류	15	g	60	0	0	15	10	30	0	0	0	0
옛날 왕사탕	캔디류	16	g	65	0	0	0	9	0	0	0	0	0
New종합캔디	캔디류	16	g	65	0	0	0	11	10	0	0	0	0
New종합캔디	캔디류	16	g	65	0	0	5	11	10	0	0	0	0
신카푸치노맛캔디	캔디류	16	g	70	0	1	16	12	25	0	0	0	0
New 박하맛캔디	캔디류	16	g	30	0	0	8	6	0	0	0	0	0
박하향캔디	캔디류	16	g	64	0	0	16	14	15	0	0	0	0
핑크퐁 젤리스틱	캔디류	18.8	g	20	0	0	0	4	24	0	0	0	0
쥬시 스트로우	캔디류	19	g	18	0	0	0	4	13.2	0	0	0	0
돌백도 젤리 250	캔디류	19	g	11	0	0	0	3	9	0	0	0	0
돌코코파인젤리250	캔디류	19	g	13	0	0	3	3	9	0	0	0	0
돌 화이트코코 젤리250	캔디류	19	g	17	0	1	3	2	9	0	0	1	0
젤리스트로우 어쏘티드	캔디류	19.3	g	20	0	0	5	4	24	0	0	0	0
씨젤리	캔디류	20	g	80	0	0	0	15	25	0	0	0.7	0
젤리벨리 버터팝콘 향 캔디	캔디류	20	g	14	0	0	3.7	2.42	2	0	0	0	0
감귤쪼옥	캔디류	20	g	35	0	0	8	7	0	0	0	0	0
애프터 커피 캔디 (레몬라임)	캔디류	20	g	80	0	0	0	19	0	0	0	0	0
애프터 커피 캔디 (페퍼민트)	캔디류	20	g	80	0	0	0	20	0	0	0	0	0
후룻 바이 더 풋 풋젤리 스트로베리 레몬에이드향	캔디류	21	g	79	0	1.4	16.5	9.1	47	0	0	0	0.9
후룻바이더풋 스트로베리 레몬에이드	캔디류	21	g	79	0	1	17	9	47	0	0	1	0
후룻 바이 더 풋 풋젤리 포도 & 청포도향	캔디류	21	g	79	0	0	0	9.1	47	0	0	0.6	0
전화놀이	캔디류	22	g	85	0	0	21	21	0	0	0	0	0
신쫄이레몬콜라맛	캔디류	24	g	85	1	0	21	12	20	0	0	0	0
신쫄이 딸기맛	캔디류	27	g	95	1	0	23	15	15	0	0	0	0
신쫄이 사과맛	캔디류	27	g	95	1	0	23	15	15	0	0	0	0
새콤달콤 블루베리소다향	캔디류	29	g	120	0	3	24	16	5	0	0	3	0
초코캔디	캔디류	30	g	115	0	0	0	27	0	0	0	0	0
구촘프 블루베리석류향	캔디류	30	g	27	0	0	6.9	3.3	15	0	0	0	0
구촘프 오렌지향	캔디류	30	g	27	0	0	6.9	3.3	15	0	0	0	0
구촘프 워터멜론향	캔디류	30	g	27	0	0	6.9	3.3	15	0	0	0	0
그린애플향 태피 엘아이티이	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
그린티향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
나폴리탄 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
네이키드 토피	캔디류	30	g	51.82	0.27	3.27	5.18	0.84	60	0	8.18	1.91	0
딜스 다이제스티브 민트	캔디류	30	g	37.2	0	0.12	9	1.31	0	0	0	0	0
딜스 민트 진저&라임	캔디류	30	g	37.2	0	0.12	9	0	0	0	0	0	0
딸기향 스파이럴	캔디류	30	g	33	0.18	0.36	7.26	5.52	4.98	0	0	0.24	0
딸기향 타피	캔디류	30	g	36.43	0	0.43	8.14	4.71	0	0	0	0	0
땅콩카라멜	캔디류	30	g	38.39	0.56	1.06	6.64	4.56	5.19	0	0.05	0.64	0
럼향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
레몬 머링게파이향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
레몬에이드향 타피	캔디류	30	g	36.43	0	0.43	8.14	4.71	0	0	0	0	0
록키 팝	캔디류	30	g	48.14	0.42	2.3	6.07	3.77	69.07	0	2.09	0.73	0
록키 팝 기프트	캔디류	30	g	46.05	0.42	2.3	5.86	3.77	69.07	0	2.09	0.73	0
루바브 앤 카스타드향 튜브	캔디류	30	g	36	0.12	0.36	6.6	7.2	6.42	0	0	0.18	0
마이쮸 딸기	캔디류	30	g	37.2	0.15	0.82	7.35	4.81	2.05	0	0	0.82	0
마이쮸 복숭아	캔디류	30	g	37.09	0.16	0.81	7.34	5	2.66	0	0	0.8	0
마이쮸 블루베리	캔디류	30	g	37.43	0.15	0.83	7.34	4.69	2.18	0	0.71	0.81	0
마이쮸 사과	캔디류	30	g	37.22	0.16	0.79	7.41	4.81	2.33	0	0	0.78	0
마이쮸 스무디	캔디류	30	g	37.3	0.15	0.81	7.35	4.81	2.27	0	0	0.8	0
마이쮸 자일리톨 딸기	캔디류	30	g	34.21	0.11	0.65	7.61	4.18	2.55	0	0	0.64	0
마이쮸 자일리톨 복숭아	캔디류	30	g	34.55	0.13	0.65	7.61	3.94	2.79	0	0	0.63	0
마이쮸 자일리톨 사과	캔디류	30	g	34.66	0.12	0.66	7.61	4.31	3.47	0	0	0.65	0
마이쮸 자일리톨 포도	캔디류	30	g	34.23	0.13	0.62	7.62	3.83	3.68	0	0	0.61	0
마이쮸 포도	캔디류	30	g	37.25	0.15	0.79	7.43	5	2.6	0	0	0.78	0
마카다미아 토피 화이트	캔디류	30	g	54.26	0.26	3.71	4.24	3.38	33.09	0	3.97	1.72	0
망고향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
메이지 과즙구미 딸기맛	캔디류	30	g	29.65	0.53	0	6.88	5.44	0	0	0	0	0
메이지 과즙구미 오렌지맛	캔디류	30	g	29.65	0.53	0	6.88	5.44	0	0	0	0	0
메이지 과즙구미 포도맛	캔디류	30	g	29.65	0.53	0	6.88	5.73	0	0	0	0	0
모리나가 초코 캬라멜	캔디류	30	g	37.8	0.38	0.94	6.91	1.48	9.61	0	0	0.64	0
미니요우칸 네리	캔디류	30	g	25.91	0.29	0.02	6.16	4.5	0.62	0	0	0	0
미니요우칸 맛차	캔디류	30	g	25.89	0.35	0.02	6.09	4.58	0.32	0	0	0	0
미니요우칸 오구라	캔디류	30	g	25.91	0.31	0.02	6.11	4.81	1.09	0	0	0	0
밀크 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
밀크볼 딸기	캔디류	30	g	38.11	0.28	0.77	7.52	4.52	17.07	0	1.24	0.54	0.02
밀크볼 오리지널	캔디류	30	g	38.17	0.4	0.84	7.26	4.74	14.21	0	1.96	0.61	0.04
밀크캐러멜	캔디류	30	g	34.62	0	0.76	6.92	4.5	20.77	0	0	0	0
바나나향 크림향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
바나나향 태피 엘아이티이	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
바나나향 스플리트 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
바나나향 타피	캔디류	30	g	36.43	0	0.43	8.14	4.71	0	0	0	0	0
바닐라초코맛 듀오퍼지	캔디류	30	g	39.6	0	1.2	7.2	4.28	18	0	0	0.9	0
바닐라향 태피 엘아이티이	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
버디 후르츠 바이트 바나나	캔디류	30	g	30.54	0	0	7.55	7.39	0	0	0	0	0
버디 후르츠 바이트 오렌지	캔디류	30	g	30.54	0	0	7.55	7.39	0	0	0	0	0
버블검향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
베리향 크리머 태피캔디	캔디류	30	g	35.36	0	0.8	6.75	4.18	54.64	0	0	0.32	0
블루 라스베리향 타피	캔디류	30	g	36.43	0	0.43	8.14	4.71	0	0	0	0	0
블루베리향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
뿌라우린	캔디류	30	g	39.69	1.12	1.17	6.12	6.12	37.98	0	0	1.17	0
산딸기향 레몬에이드향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
산딸기향 태피 엘아이티이	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새시 체리향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새씨 그레이프향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새씨 그린애플향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새씨 블루라즈베리향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새씨 오렌지향 태피	캔디류	30	g	35.36	0	0.64	7.07	4.5	54.64	0	0	0.32	0
새콤달콤 레모네이드	캔디류	30	g	37.91	0.08	0.85	7.48	4.89	1.93	0	0.05	0.83	0
새콤달콤 복숭아	캔디류	30	g	37.31	0.07	0.85	7.41	4.89	3.6	0	2.12	0.84	0
새콤달콤 파인애플	캔디류	30	g	37.31	0.07	0.85	7.41	4.89	3.6	0	2.12	0.84	0
